mol_idx,smiles,reward,EGFR,sampling_group,screen_2ITY_WT_vina_aff,screen_4WKQ_WT_vina_aff,screen_4HJO_inactive_vina_aff,screen_4I23_WT_vina_aff,screen_4G5J_T790M_vina_aff,screen_4ZAU_T790M_vina_aff,screen_5D41_allosteric_vina_aff,refined_2ITY_WT_vina_aff,refined_2ITY_WT_vina_aff_std,refined_4WKQ_WT_vina_aff,refined_4WKQ_WT_vina_aff_std,refined_4HJO_inactive_vina_aff,refined_4HJO_inactive_vina_aff_std,refined_4I23_WT_vina_aff,refined_4I23_WT_vina_aff_std,refined_4G5J_T790M_vina_aff,refined_4G5J_T790M_vina_aff_std,refined_4ZAU_T790M_vina_aff,refined_4ZAU_T790M_vina_aff_std,refined_5D41_allosteric_vina_aff,refined_5D41_allosteric_vina_aff_std,refined_T790M_vina_avg,refined_WT_vina_avg,refined_vina_selectivity,refined_T790M_vina_cross_pdb_diff,refined_WT_vina_cross_pdb_diff,refined_allosteric_vina_aff
147,COc1cc2ncnc(Nc3cccc(C(C)(F)Cc4cc5cccnc5nc4N)c3)c2cc1OC,0.7065679486125689,7.096383857348056,random100,-8.751,-8.333,-10.53,-9.783,-6.804,-9.179,-9.719,-8.811333333333334,0.015923427883328126,-8.327666666666667,0.03118047822311662,-10.526666666666666,0.009428090415820432,-9.723333333333333,0.03596603335865024,-6.796333333333333,0.003858612300929855,-8.741999999999999,0.3238919572944037,-9.713666666666667,0.01111555466702192,-7.769166666666666,-9.347249999999999,-1.5780833333333328,1.945666666666666,0.48366666666666625,-9.713666666666667
179,O=C(Nc1sc2nccnc2c1C(=O)Nc1cccc(C(F)(F)F)c1)c1ccccc1F,0.6750797302640147,5.953633773708685,diverse50,-8.962,-9.013,-9.481,-8.911,-7.459,-9.053,-6.9,-9.082333333333333,0.11936033214133128,-9.005,0.00804155872120984,-9.495666666666667,0.014337208778404416,-8.906999999999998,0.010230672835481989,-7.462,0.004546060565661646,-8.997666666666667,0.030879694874715532,-6.900333333333333,0.006128258770283365,-8.229833333333334,-9.122499999999999,-0.8926666666666652,1.5356666666666676,0.07733333333333192,-6.900333333333333
188,COCC(Cc1n[nH]c2ccccc12)c1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,0.5725761913721156,7.306562358729653,diverse50,-8.251,-8.666,-9.649,-9.086,-6.504,-9.035,-9.923,-8.271666666666667,0.026960877005188545,-8.689666666666668,0.008498365855987677,-9.847666666666667,0.16809587211535654,-9.154333333333334,0.052130178932702276,-6.488666666666667,0.0634787803565534,-9.014000000000001,0.020992061991778003,-9.916333333333334,0.015584892970081685,-7.751333333333334,-8.990833333333335,-1.2395000000000005,2.525333333333334,0.41800000000000104,-9.916333333333334
186,COc1cc2ncnc(Nc3cccc(C4=CN=NN5C=CC=CC=C4C5)c3)c2cc1OC,0.745695785723461,7.024517201040344,diverse50,-9.179,-9.171,-9.755,-9.224,-7.319,-8.994,-9.641,-9.173333333333334,0.021060758665241944,-9.164,0.013063945294843629,-9.841333333333333,0.012970050972229094,-9.212666666666665,0.002867441755680732,-7.2749999999999995,0.02092844953645604,-8.991,0.005354126134736356,-9.638333333333334,0.009030811456096133,-8.133,-9.347833333333332,-1.214833333333333,1.7160000000000002,0.009333333333334082,-9.638333333333334
83,COc1cc2ncnc(Nc3cccc(Cc4cnccc4N4CCC(O)CC4)c3)c2cc1OC,0.6121709428603319,7.1142471334348505,random100,-8.016,-8.881,-9.629,-8.598,-5.962,-8.881,-9.407,-7.910333333333333,0.22472254497985333,-8.870666666666667,0.05076963221804458,-9.533333333333333,0.1267341925273344,-8.614666666666666,0.028709270666846216,-5.9319999999999995,0.03289376840679706,-8.890666666666666,0.017556258776352012,-10.14,0.029439202887759464,-7.411333333333333,-8.732249999999999,-1.3209166666666654,2.958666666666667,0.9603333333333337,-10.14
99,CCCS(=O)(=O)Nc1cccc(C(C)(F)c2cccc(Nc3ncnc4cc(OC)c(OC)cc34)c2)c1,0.8402663678603359,7.6662359446907615,random100,-8.563,-8.126,-9.422,-8.14,-6.472,-8.721,-8.655,-8.546666666666667,0.017594190960529298,-8.144333333333334,0.05149325737953982,-9.429333333333332,0.01819035153285675,-8.181,0.01232882800593842,-6.458333333333333,0.005185449728701406,-8.412333333333335,0.3778574099077881,-8.634333333333332,0.013021349989749163,-7.435333333333334,-8.575333333333333,-1.1399999999999988,1.9540000000000015,0.402333333333333,-8.634333333333332
142,COc1cc2ncnc(Nc3cccc(C(N)=O)c3)c2cc1OCc1ccccc1,0.5041364557161803,6.384737997367971,random100,-8.66,-8.705,-9.356,-8.334,-6.422,-8.702,-9.146,-8.620666666666667,0.022216110270602028,-8.665999999999999,0.043366653856006236,-9.449333333333334,0.047953681355612496,-8.113000000000001,0.012027745701779172,-6.613666666666667,0.06798692684790385,-8.697666666666667,0.023795424396766296,-9.220666666666666,0.02458093208611557,-7.655666666666667,-8.71225,-1.0565833333333323,2.0839999999999996,0.04533333333333189,-9.220666666666666
25,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cccc(N)c4)c3)c2cc1OC,0.9384638127333118,7.812166102819114,top50,-8.972,-8.234,-9.666,-9.562,-6.31,-8.671,-10.21,-8.988666666666667,0.028581268146967414,-8.187,0.008640987597877018,-9.664333333333333,0.02940899333348409,-9.685,0.07861721609588272,-6.322666666666667,0.006798692684790327,-8.690666666666667,0.01575506973079481,-10.213333333333333,0.02624669291337297,-7.506666666666667,-9.13125,-1.6245833333333328,2.3680000000000003,0.8016666666666676,-10.213333333333333
144,COc1cc2ncnc(Nc3cccc(C(C)(C)OC(=O)Nc4ccccc4)c3)c2cc1OC,0.7120118733278978,6.218939720356258,random100,-8.863,-7.757,-10.56,-8.423,-6.267,-8.669,-9.274,-8.839666666666666,0.009030811456096133,-7.7796666666666665,0.010656244908763764,-10.583333333333334,0.032998316455372295,-8.476,0.031016124838542,-6.2540000000000004,0.24183603260611652,-8.623333333333333,0.013888444437333367,-9.126,0.005099019513592978,-7.438666666666666,-8.919666666666666,-1.4809999999999999,2.3693333333333326,1.0599999999999996,-9.126
194,COc1cc2ncnc(Nc3cccc(C(O)(CO)c4ccccc4-c4ccc(C)c(C)c4)c3)c2cc1OC,0.8962090735389967,7.40225830609225,diverse50,-8.002,-7.777,-9.7,-8.663,-5.627,-8.658,-10.06,-8.644333333333334,0.005436502143433364,-7.7443333333333335,0.020072092289765916,-9.135666666666667,0.7853599316378589,-8.615333333333334,0.02894055209486475,-5.622,0.012355835328567096,-8.658000000000001,0.006377042156570307,-10.116666666666667,0.02054804667656349,-7.140000000000001,-8.534916666666666,-1.3949166666666653,3.0360000000000014,0.9000000000000004,-10.116666666666667
168,CN1Cc2ccccc2Oc2ccc(Nc3ccnc4cc(Cl)ccc34)cc2C1=O,0.6554948279786137,6.182471491986866,diverse50,-8.961,-9.085,-11.07,-9.422,-7.525,-8.584,-9.08,-8.959666666666665,0.002494438257848703,-9.083,0.010033277962194574,-11.060000000000002,0.008164965809277086,-9.386000000000001,0.03329664647778614,-7.677666666666667,0.021746008573733273,-8.862666666666666,0.34478624618095705,-9.047,0.016990193249833117,-8.270166666666666,-9.622166666666667,-1.3520000000000003,1.1849999999999987,0.12333333333333485,-9.047
7,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cccc(N)n4)c3)c2cc1OC,0.949151403250969,7.92094233431148,top50,-9.079,-8.952,-9.789,-9.534,-6.612,-8.58,-9.111,-9.077333333333334,0.019618585292749558,-8.928666666666667,0.005312459150169696,-9.821,0.017454703282114927,-9.493333333333334,0.009877021593352443,-6.562666666666666,0.03340991203553542,-8.449666666666667,0.10584999868787077,-9.301,0.2370358622656072,-7.506166666666667,-9.330083333333333,-1.8239166666666655,1.8870000000000013,0.14866666666666717,-9.301
0,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cc(F)cc(C(F)(F)F)c4)c3)c2cc1OC,0.9758075954955808,8.314696726770364,top50,-9.107,-8.797,-9.109,-9.477,-7.191,-8.569,-9.942,-8.979000000000001,0.17652384163808232,-8.790999999999999,0.022196095752781555,-9.110333333333335,0.010274023338281792,-9.477666666666666,0.005734883511361463,-7.173666666666666,0.016659998666133092,-8.520333333333333,0.015923427883328744,-9.612,0.015577761927397415,-7.8469999999999995,-9.0895,-1.2424999999999997,1.3466666666666676,0.1880000000000024,-9.612
134,COc1cc2ncnc(Nc3cccc(C(C)(F)c4ccccc4C)c3)c2cc1OC,0.8927016325922953,7.349524635943336,random100,-8.615,-8.573,-10.05,-9.028,-6.921,-8.564,-9.291,-8.62,0.00326598632371127,-8.676,0.02111871208194289,-10.07,0.016329931618554172,-9.026,0.016872067646458055,-6.8066666666666675,0.011469767022723685,-8.614,0.04781213235152734,-9.313666666666668,0.0040276819911984575,-7.710333333333335,-9.097999999999999,-1.3876666666666644,1.8073333333333332,0.05600000000000094,-9.313666666666668
28,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cccc(C)c4)c3)c2cc1OC,0.9366862651611404,7.91449681261194,top50,-8.581,-8.266,-9.557,-9.484,-6.761,-8.559,-10.43,-8.606333333333334,0.016858891488536025,-8.260666666666667,0.0018856180831647565,-9.537,0.03533647784749771,-9.439333333333332,0.04786323107447806,-6.914666666666666,0.13686327321657743,-8.445,0.17769074258384945,-10.463333333333333,0.028674417556808836,-7.679833333333333,-8.960833333333333,-1.2810000000000006,1.530333333333334,0.34566666666666634,-10.463333333333333
170,O=C(Nc1ccc(-c2nc3ccccc3s2)cc1)c1cccc(C(F)(F)F)c1,0.4596495175213362,5.150456443404195,diverse50,-8.318,-9.157,-10.97,-8.224,-7.614,-8.555,-9.992,-8.443333333333333,0.025849994627121918,-9.161666666666667,0.008993825042154801,-10.973333333333334,0.004714045207910216,-8.268,0.011775681155104108,-7.624666666666667,0.003399346342395222,-8.527666666666667,0.007408703590297646,-10.023333333333333,0.012472191289246204,-8.076166666666667,-9.211583333333333,-1.135416666666666,0.9029999999999996,0.7183333333333337,-10.023333333333333
155,c1ccc(CNc2ncnc3c2cnn3-c2ccccc2)cc1,0.3833076061100238,5.736664183825244,diverse50,-8.37,-8.341,-9.824,-8.837,-6.196,-8.538,-9.057,-8.366999999999999,0.007483314773548166,-8.343333333333334,0.0032998316455368285,-9.809666666666667,0.009809292646374429,-8.826666666666666,0.007133644853010763,-6.207333333333334,0.007039570693980701,-8.515333333333333,0.01948218559493649,-9.081666666666667,0.0047842333648028005,-7.361333333333333,-8.836666666666666,-1.4753333333333334,2.307999999999999,0.023666666666665392,-9.081666666666667
4,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cccc(F)c4)c3)c2cc1OC,0.9529152752692124,7.961319985767187,top50,-8.544,-8.765,-9.967,-9.277,-6.689,-8.522,-9.37,-8.536,0.02717842281418659,-8.725333333333333,0.0165193489244852,-10.023333333333332,0.004714045207910216,-9.352666666666666,0.09451748809376827,-6.716666666666668,0.04576267280461473,-8.494,0.02409702609590345,-10.450000000000001,0.06164414002968999,-7.605333333333334,-9.159333333333333,-1.5539999999999985,1.777333333333332,0.1893333333333338,-10.450000000000001
23,COc1cc2ncnc(Nc3cccc(C(C)(F)Cc4c(N)nc(N)nc4N)c3)c2cc1OC,0.9395601258134112,7.964272912959704,top50,-8.348,-8.584,-9.632,-8.75,-6.207,-8.497,-9.145,-8.360333333333335,0.013523641850066999,-8.573666666666666,0.008730533902472913,-9.670333333333334,0.014727148022916173,-8.786999999999999,0.02772483844257168,-6.127,0.006377042156569472,-8.435333333333334,0.037862323694612086,-9.182666666666668,0.012657891697365673,-7.2811666666666675,-8.847833333333334,-1.5666666666666664,2.3083333333333345,0.21333333333333115,-9.182666666666668
138,COc1cc2ncnc(Nc3cccc(C(C)(F)Cc4ccccc4)c3O)c2cc1OC,0.7143375301850708,6.88608206142101,random100,-7.844,-8.774,-9.809,-8.648,-6.648,-8.476,-8.319,-7.824000000000001,0.0032659863237109073,-8.767333333333331,0.007760297817881926,-9.781333333333334,0.0077172246018602725,-8.536666666666667,0.07286669716376278,-6.683333333333333,0.007586537784494064,-8.404333333333334,0.03657260662785138,-8.333333333333334,0.051051172584204635,-7.543833333333334,-8.727333333333334,-1.1835000000000004,1.721000000000001,0.9433333333333307,-8.333333333333334
94,COc1cc2ncnc(Nc3cccc(Cc4ccnc(N)c4)c3)c2cc1OC,0.7594192120210902,7.427638048530146,random100,-8.459,-8.034,-10.67,-9.072,-6.176,-8.449,-9.512,-8.463333333333333,0.005906681715556518,-8.086,0.03884155849945565,-10.653333333333334,0.012472191289246206,-9.101333333333335,0.01966949132257549,-6.187333333333334,0.07993469556804182,-8.564333333333334,0.02028683207293733,-9.498,0.019252705437591937,-7.375833333333334,-9.076,-1.7001666666666662,2.377,0.37733333333333263,-9.498
111,COc1cc2ncnc(Nc3cccc(C(CO)Cc4cc(F)ccc4F)c3)c2cc1OC,0.7940949329808376,7.363875219239134,random100,-8.384,-8.751,-9.86,-8.513,-6.898,-8.445,-9.645,-8.378666666666668,0.024513035081134296,-8.800666666666666,0.02368309289110874,-9.9,0.01920069443188607,-8.531333333333334,0.026449112566503175,-6.945,0.032383123176535494,-8.413666666666666,0.03171049598406795,-9.317333333333332,0.43087611006207116,-7.679333333333333,-8.902666666666667,-1.2233333333333336,1.4686666666666657,0.4219999999999988,-9.317333333333332
9,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cccc(C(F)(F)F)c4)c3)c2cc1OC,0.9472118171712542,7.911424158976331,top50,-8.8,-8.63,-9.614,-8.877,-7.283,-8.436,-9.642,-8.819333333333335,0.014704496666741687,-8.877,0.007483314773547375,-9.616666666666667,0.01922382780706185,-8.609,0.2156494068312424,-7.300666666666667,0.06172159715655066,-8.435,0.011045361017186983,-9.619666666666665,0.002054804667655859,-7.8678333333333335,-8.980500000000001,-1.1126666666666676,1.1343333333333332,0.05766666666666609,-9.619666666666665
187,COc1cc2ncnc(Nc3cccc(C(C)(F)Cc4nc5c(N)ncnc5nc4C)c3)c2cc1OC,0.9219531832446992,7.670295100258665,diverse50,-8.262,-8.286,-9.589,-9.249,-6.575,-8.413,-8.251,-8.256,0.004320493798938372,-8.221000000000002,0.05266877632905459,-9.626333333333333,0.011264496832476985,-9.252666666666665,0.024225789747475773,-6.554666666666667,0.020741798914805203,-8.327,0.03295451410656801,-9.36,0.030692018506446025,-7.440833333333334,-8.839,-1.3981666666666666,1.772333333333333,0.034999999999998366,-9.36
76,COc1cc2ncnc(Nc3cccc(C(C)(F)Cc4ccc(Cl)cc4Cl)c3)c2cc1OC,0.8807742212672116,7.626213806222628,random100,-7.979,-9.02,-9.78,-8.884,-6.759,-8.392,-9.938,-8.139000000000001,0.21583790213954587,-8.920666666666667,0.021013223349965665,-9.781333333333333,0.01178511301977596,-8.683,0.19771865533294186,-6.718666666666667,0.03564952859280032,-8.383,0.024179881444429188,-9.905333333333333,0.016659998666133487,-7.550833333333333,-8.881,-1.330166666666667,1.6643333333333326,0.7816666666666663,-9.905333333333333
59,COc1cc2ncnc(Nc3cccc(C(C)(C)C)c3)c2cc1-c1ccccc1S(=O)(=O)N(C)C,0.8582053895691862,7.087227881636794,random100,-8.003,-8.201,-8.48,-7.353,-6.33,-8.389,-6.486,-8.0,0.017378147196982642,-8.19,0.009933109617167538,-8.413666666666666,0.036718145680606516,-7.808333333333333,0.3642904823839837,-6.3069999999999995,0.013638181696985982,-8.424666666666665,0.02013840995599077,-6.503666666666667,0.02463511495586899,-7.365833333333333,-8.102999999999998,-0.7371666666666652,2.1176666666666657,0.1899999999999995,-6.503666666666667
183,COc1cc(Cc2cccc(Nc3ncnc4cc(OC)c(-c5ccncc5)cc34)c2)cc(OC)c1,0.614063147103177,6.817933022871531,diverse50,-8.641,-7.991,-8.952,-8.797,-7.194,-8.387,-8.108,-8.677999999999999,0.014854853303438265,-8.048,0.024344746182013408,-8.944666666666668,0.016418147141366288,-8.804333333333332,0.005436502143433182,-7.178666666666667,0.0020548046676562913,-8.404333333333334,0.013274871834493327,-8.719000000000001,0.03889301565405565,-7.791500000000001,-8.61875,-0.8272499999999994,1.2256666666666662,0.629999999999999,-8.719000000000001
27,COc1cc2ncnc(Nc3cccc(C(C)(F)Cc4ccncc4N)c3)c2cc1OC,0.9380653980432117,7.771077031636856,top50,-7.924,-8.717,-9.955,-8.561,-6.332,-8.38,-8.962,-7.998666666666668,0.10953335362142257,-8.742333333333335,0.024850665092820454,-9.945666666666668,0.0168588914885357,-8.530000000000001,0.019442222095223494,-6.014333333333333,0.13131471949311516,-8.389666666666667,0.010873004286866546,-8.958333333333334,0.016110727964792657,-7.202,-8.804166666666667,-1.6021666666666672,2.3753333333333337,0.7436666666666669,-8.958333333333334
73,COc1cc2ncnc(Nc3cccc(C(CO)c4c[nH]c(=O)[nH]4)c3)c2cc1OC,0.8126554715063853,7.385127286272236,random100,-8.003,-7.76,-9.519,-7.588,-6.591,-8.343,-8.311,-8.007666666666667,0.010208928554075477,-7.7090000000000005,0.06362913378843596,-9.560333333333334,0.1625101706218898,-7.574666666666666,0.011671427600007597,-6.566,0.015748015748023803,-8.325999999999999,0.026191601707417748,-8.332333333333333,0.015860503004493827,-7.446,-8.212916666666667,-0.7669166666666669,1.759999999999999,0.29866666666666664,-8.332333333333333
175,COc1cc2ncnc(Nc3cccc(COCc4cn(Cc5ccccc5F)nn4)c3)c2cc1OC,0.681391910178857,7.144856070197398,diverse50,-7.882,-7.304,-9.78,-8.621,-6.489,-8.337,-9.527,-7.877,0.047081489639418266,-7.3629999999999995,0.36778616975991174,-9.977000000000002,0.01512172829628532,-8.684333333333333,0.022216110270602028,-6.184,0.37677933418204707,-8.259,0.07416647940051305,-9.749333333333333,0.16933070864107574,-7.221500000000001,-8.475333333333333,-1.2538333333333327,2.075,0.5140000000000002,-9.749333333333333
