mol_idx,smiles,reward,EGFR,Stab,Perm,EGFR_sim,sampling_group,2ITY_WT_vina_aff,2ITY_WT_vina_aff_std,4WKQ_WT_vina_aff,4WKQ_WT_vina_aff_std,4HJO_inactive_vina_aff,4HJO_inactive_vina_aff_std,4I23_WT_vina_aff,4I23_WT_vina_aff_std,4G5J_T790M_vina_aff,4G5J_T790M_vina_aff_std,4ZAU_T790M_vina_aff,4ZAU_T790M_vina_aff_std,5D41_allosteric_vina_aff,5D41_allosteric_vina_aff_std,T790M_vina_avg,WT_vina_avg,vina_selectivity,T790M_vina_cross_pdb_diff,WT_vina_cross_pdb_diff,allosteric_vina_aff
0,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cc(F)cc(C(F)(F)F)c4)c3)c2cc1OC,0.9758075954955808,8.314696726770364,71.56320250706248,1.1254149609047397,0.7735849056603774,top50,-9.107,0.0,-8.797,0.0,-9.109,0.0,-9.477,0.0,-7.191,0.0,-8.569,0.0,-9.942,0.0,-7.880000000000001,-9.122499999999999,-1.242499999999998,1.378000000000001,0.3099999999999987,-9.942
1,CNCCOCCC(C)(C)c1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,0.958558044794288,8.032975241511883,72.70875920220492,0.9160817039081852,0.6271186440677966,top50,-7.543,0.0,-6.898,0.0,-8.762,0.0,-7.286,0.0,-5.796,0.0,-7.175,0.0,-7.984,0.0,-6.4855,-7.622249999999999,-1.1367499999999993,1.3789999999999996,0.6450000000000005,-7.984
2,COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,0.9535558272424872,7.938516015889951,73.79057485526974,1.104663936336194,1.0,top50,-7.476,0.0,-8.365,0.0,-8.967,0.0,-7.963,0.0,-6.885,0.0,-7.197,0.0,-9.058,0.0,-7.041,-8.19275,-1.1517499999999998,0.3120000000000003,0.8890000000000002,-9.058
3,COc1cc2ncnc(Nc3cccc(C(C)(F)CCC4CC4)c3)c2cc1OC,0.953439930164242,7.930957599188412,78.08323724608475,0.981020598161378,0.6964285714285714,top50,-7.104,0.0,-7.965,0.0,-9.294,0.0,-8.122,0.0,-6.535,0.0,-7.128,0.0,-8.895,0.0,-6.8315,-8.12125,-1.2897499999999997,0.593,0.8609999999999998,-8.895
4,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cccc(F)c4)c3)c2cc1OC,0.9529152752692124,7.961319985767187,72.19559975964695,1.2729282484296798,0.7755102040816326,top50,-8.544,0.0,-8.765,0.0,-9.967,0.0,-9.277,0.0,-6.689,0.0,-8.522,0.0,-9.37,0.0,-7.6055,-9.138250000000001,-1.532750000000001,1.8330000000000002,0.22100000000000009,-9.37
5,CNCCC(C)(C)c1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,0.9521502208583134,7.93671638514922,74.13526618838641,0.9016010828095506,0.6851851851851852,top50,-8.066,0.0,-7.604,0.0,-8.903,0.0,-7.654,0.0,-6.205,0.0,-7.402,0.0,-8.241,0.0,-6.8035,-8.056750000000001,-1.2532500000000013,1.197,0.46200000000000063,-8.241
6,COc1cc2ncnc(Nc3cccc(C(C)(C)Nc4cc(C(F)(F)F)ccn4)c3)c2cc1OC,0.9494288742726408,8.101017247857536,68.41567949622247,0.9693035428164216,0.7636363636363637,top50,-8.56,0.0,-8.607,0.0,-10.38,0.0,-8.291,0.0,-7.101,0.0,-8.09,0.0,-8.909,0.0,-7.5954999999999995,-8.959500000000002,-1.3640000000000025,0.9889999999999999,0.04699999999999882,-8.909
7,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cccc(N)n4)c3)c2cc1OC,0.949151403250969,7.92094233431148,75.03982524905204,0.85157372727426,0.6964285714285714,top50,-9.079,0.0,-8.952,0.0,-9.789,0.0,-9.534,0.0,-6.612,0.0,-8.58,0.0,-9.111,0.0,-7.596,-9.3385,-1.7424999999999997,1.968,0.12700000000000067,-9.111
8,COc1cc2ncnc(Nc3cccc(C(O)(CO)c4ccccc4F)c3)c2cc1OC,0.948474013655374,7.893660531406166,78.09273773849216,0.8931890979935163,0.6440677966101694,top50,-7.903,0.0,-7.909,0.0,-8.838,0.0,-8.157,0.0,-6.611,0.0,-7.748,0.0,-8.775,0.0,-7.1795,-8.20175,-1.0222500000000005,1.1370000000000005,0.006000000000000227,-8.775
9,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cccc(C(F)(F)F)c4)c3)c2cc1OC,0.9472118171712542,7.911424158976331,71.58556629737917,1.1463993528634615,0.8936170212765957,top50,-8.8,0.0,-8.63,0.0,-9.614,0.0,-8.877,0.0,-7.283,0.0,-8.436,0.0,-9.642,0.0,-7.859500000000001,-8.98025,-1.1207499999999992,1.1529999999999996,0.16999999999999993,-9.642
10,COc1cc2ncnc(Nc3cccc(C(C)(F)CC4CN(C)C4)c3)c2cc1OC,0.9465041892698433,7.955740492452324,71.26097871074256,0.8506376439998886,0.6610169491525424,top50,-7.549,0.0,-7.804,0.0,-9.403,0.0,-8.089,0.0,-6.094,0.0,-7.273,0.0,-8.966,0.0,-6.6835,-8.21125,-1.5277499999999993,1.1789999999999994,0.2549999999999999,-8.966
11,COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OCc1cc(F)cc(Cl)c1,0.9450952635146465,7.902246636876797,71.14542446689097,0.9798183551259152,0.7368421052631579,top50,-8.82,0.0,-8.784,0.0,-9.681,0.0,-8.372,0.0,-7.24,0.0,-8.228,0.0,-8.994,0.0,-7.734,-8.91425,-1.1802499999999991,0.9879999999999995,0.03599999999999959,-8.994
12,COc1cc2ncnc(Nc3cccc(C(O)(CO)c4cccc(F)c4)c3)c2cc1OC,0.9445872288712778,7.860158828693177,72.7850408974034,0.9295098090470107,0.7169811320754716,top50,-8.048,0.0,-8.108,0.0,-8.875,0.0,-8.623,0.0,-6.306,0.0,-8.018,0.0,-9.453,0.0,-7.162000000000001,-8.413499999999999,-1.2514999999999983,1.7120000000000006,0.0600000000000005,-9.453
13,COc1cc2ncnc(Nc3cccc(C(C)(C)CCOCC(F)(F)F)c3)c2cc1OC,0.944519243500935,7.8348925339759,73.88528819797605,1.0240400756234944,0.7142857142857143,top50,-6.986,0.0,-7.779,0.0,-8.739,0.0,-7.734,0.0,-6.475,0.0,-7.318,0.0,-8.692,0.0,-6.8965,-7.8095,-0.9130000000000003,0.843,0.7930000000000001,-8.692
14,COc1cc2ncnc(Nc3cccc(C(F)(CO)CC4CN(C)C4)c3)c2cc1OC,0.9432555814537208,7.858207292616671,74.0908835866035,0.8499362165896635,0.6290322580645161,top50,-7.618,0.0,-7.746,0.0,-8.642,0.0,-7.352,0.0,-5.698,0.0,-7.315,0.0,-8.088,0.0,-6.506500000000001,-7.8395,-1.3329999999999993,1.617,0.1280000000000001,-8.088
15,COc1cc2ncnc(Nc3cccc(C(O)(CO)c4cc(F)cc(F)c4)c3)c2cc1OC,0.9431446663712184,7.837717030907125,74.57407884299629,0.8858306659713754,0.6666666666666666,top50,-8.447,0.0,-8.944,0.0,-8.789,0.0,-8.549,0.0,-6.591,0.0,-7.92,0.0,-9.841,0.0,-7.2555,-8.68225,-1.4267500000000002,1.3289999999999997,0.49700000000000166,-9.841
16,COc1cc2ncnc(Nc3cccc(C(C)(F)Cc4c(F)cccc4F)c3)c2cc1OC,0.9424927850934194,8.054868630597545,67.7324347345687,1.1111561663402056,0.7222222222222222,top50,-8.36,0.0,-9.238,0.0,-10.35,0.0,-9.144,0.0,-6.87,0.0,-8.251,0.0,-9.291,0.0,-7.560499999999999,-9.273,-1.7125000000000004,1.3809999999999993,0.8780000000000001,-9.291
17,COc1cc2ncnc(Nc3cccc(C(C)(F)CC4CC4)c3)c2cc1OC,0.941404911801606,7.818054915750309,72.71587659470799,1.05516685792645,0.7090909090909091,top50,-7.353,0.0,-8.065,0.0,-9.409,0.0,-7.818,0.0,-6.407,0.0,-7.613,0.0,-8.683,0.0,-7.01,-8.161249999999999,-1.1512499999999992,1.2060000000000004,0.7119999999999997,-8.683
18,COc1cc2ncnc(Nc3cccc(C(C)(C)Nc4c[nH]cn4)c3)c2cc1OC,0.9412677348511214,8.074071518782452,67.61057234823349,0.8890001856071766,0.6379310344827587,top50,-7.986,0.0,-7.864,0.0,-9.567,0.0,-8.496,0.0,-6.155,0.0,-8.111,0.0,-8.475,0.0,-7.133000000000001,-8.478250000000001,-1.34525,1.9560000000000004,0.12199999999999989,-8.475
19,COc1cc2ncnc(Nc3cccc(C(C)(F)Cc4c(N)n[nH]c4C)c3)c2cc1OC,0.9408222454376286,7.93746381502037,71.98429711179847,0.7529688371522122,0.6290322580645161,top50,-8.488,0.0,-8.751,0.0,-10.12,0.0,-9.174,0.0,-5.933,0.0,-8.111,0.0,-8.252,0.0,-7.022,-9.133249999999999,-2.1112499999999983,2.178000000000001,0.2629999999999999,-8.252
20,COc1cc2ncnc(Nc3cccc(F)c3F)c2cc1OC1CCN(C)CC1,0.9404242180042396,7.852917541591351,73.42683877429327,0.8172197318341061,0.8360655737704918,top50,-8.339,0.0,-8.805,0.0,-8.819,0.0,-8.662,0.0,-6.475,0.0,-8.285,0.0,-8.664,0.0,-7.38,-8.65625,-1.27625,1.8100000000000005,0.4659999999999993,-8.664
21,COc1cc2ncnc(Nc3cccc(C(C)(F)c4ccn(C(C)(C)C)c4)c3)c2cc1OC,0.939845024202849,7.793115112690704,73.20011908463965,1.0621903117136202,0.6842105263157895,top50,-8.304,0.0,-7.739,0.0,-8.415,0.0,-8.384,0.0,-6.271,0.0,-7.751,0.0,-9.127,0.0,-7.011,-8.2105,-1.1994999999999996,1.4800000000000004,0.5650000000000004,-9.127
22,COc1cc2ncnc(Nc3cccc(C(C)(F)C(F)(F)F)c3)c2cc1OC,0.93980485334107,7.802967465393416,74.47272992482021,0.8834606845823971,0.8125,top50,-8.305,0.0,-7.913,0.0,-9.85,0.0,-7.97,0.0,-6.368,0.0,-7.495,0.0,-9.186,0.0,-6.9315,-8.5095,-1.5779999999999994,1.1269999999999998,0.39199999999999946,-9.186
23,COc1cc2ncnc(Nc3cccc(C(C)(F)Cc4c(N)nc(N)nc4N)c3)c2cc1OC,0.9395601258134112,7.964272912959704,68.4965308928532,0.9881525848225872,0.6724137931034483,top50,-8.348,0.0,-8.584,0.0,-9.632,0.0,-8.75,0.0,-6.207,0.0,-8.497,0.0,-9.145,0.0,-7.352,-8.8285,-1.4764999999999997,2.29,0.23599999999999888,-9.145
24,COCCOCCC(C)(C)c1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,0.9392046149934328,7.782634201344909,73.47204383674111,1.1293410392995886,0.6491228070175439,top50,-7.23,0.0,-6.992,0.0,-8.382,0.0,-7.024,0.0,-5.479,0.0,-6.628,0.0,-7.879,0.0,-6.0535,-7.407,-1.3535000000000004,1.149,0.23800000000000043,-7.879
25,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cccc(N)c4)c3)c2cc1OC,0.9384638127333118,7.812166102819114,71.63378241330129,1.075840773701831,0.7647058823529411,top50,-8.972,0.0,-8.234,0.0,-9.666,0.0,-9.562,0.0,-6.31,0.0,-8.671,0.0,-10.21,0.0,-7.490499999999999,-9.1085,-1.6180000000000003,2.3609999999999998,0.7379999999999995,-10.21
26,COc1cc2ncnc(Nc3cccc(C(C)(C)CCC4CC4)c3)c2cc1OC,0.9380953558825824,7.761578329459228,75.18140988422054,1.0301771354719682,0.6607142857142857,top50,-7.717,0.0,-7.835,0.0,-8.905,0.0,-7.86,0.0,-6.576,0.0,-7.199,0.0,-8.536,0.0,-6.887499999999999,-8.07925,-1.1917500000000008,0.6230000000000002,0.11800000000000033,-8.536
27,COc1cc2ncnc(Nc3cccc(C(C)(F)Cc4ccncc4N)c3)c2cc1OC,0.9380653980432117,7.771077031636856,73.44426807901966,1.0570441361455716,0.639344262295082,top50,-7.924,0.0,-8.717,0.0,-9.955,0.0,-8.561,0.0,-6.332,0.0,-8.38,0.0,-8.962,0.0,-7.356,-8.789250000000001,-1.433250000000001,2.048000000000001,0.7930000000000001,-8.962
28,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cccc(C)c4)c3)c2cc1OC,0.9366862651611404,7.91449681261194,68.74341950157375,1.181390662989547,0.7647058823529411,top50,-8.581,0.0,-8.266,0.0,-9.557,0.0,-9.484,0.0,-6.761,0.0,-8.559,0.0,-10.43,0.0,-7.66,-8.972000000000001,-1.3120000000000012,1.7979999999999992,0.3149999999999995,-10.43
29,COc1cc2ncnc(Nc3cccc(C(C)(C)OC(F)(F)F)c3)c2cc1OC,0.936624703688462,7.967241516866917,67.89540658922971,1.1962115784565808,0.7959183673469388,top50,-7.817,0.0,-7.97,0.0,-9.425,0.0,-7.816,0.0,-6.559,0.0,-7.371,0.0,-9.023,0.0,-6.965,-8.257,-1.2919999999999998,0.8120000000000003,0.15299999999999958,-9.023
30,COc1cc2ncnc(Nc3cccc(C(C)(F)CC(F)F)c3)c2cc1OC,0.9364603182287324,7.765903990219329,72.7073559234074,1.1954754532335583,0.75,top50,-7.514,0.0,-8.035,0.0,-9.223,0.0,-7.774,0.0,-6.49,0.0,-7.493,0.0,-9.07,0.0,-6.9915,-8.1365,-1.1449999999999996,1.0030000000000001,0.5209999999999999,-9.07
31,COc1cc2ncnc(Nc3cccc(C(C)(F)c4ccn(C)n4)c3)c2cc1OC,0.936269970611986,7.818226774191735,71.3041890655704,0.8913080120610412,0.6842105263157895,top50,-8.274,0.0,-7.889,0.0,-9.065,0.0,-7.809,0.0,-6.252,0.0,-7.505,0.0,-8.491,0.0,-6.8785,-8.25925,-1.38075,1.2530000000000001,0.3849999999999989,-8.491
32,COc1cc2ncnc(Nc3cccc(C(C)(F)c4ccn(C)c4)c3)c2cc1OC,0.9361660399090432,7.892685489141182,69.02544747984996,1.116551250566265,0.6964285714285714,top50,-8.267,0.0,-8.092,0.0,-9.027,0.0,-8.482,0.0,-6.368,0.0,-7.535,0.0,-8.535,0.0,-6.9515,-8.467,-1.5155000000000003,1.1669999999999998,0.17499999999999893,-8.535
33,CNCCCC(C)(C)c1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,0.9347730442588728,7.770063671654924,75.13709172099858,0.8371404516771641,0.6607142857142857,top50,-7.698,0.0,-7.434,0.0,-8.475,0.0,-7.856,0.0,-6.116,0.0,-7.241,0.0,-8.309,0.0,-6.6785,-7.86575,-1.1872500000000006,1.125,0.26400000000000023,-8.309
34,COc1cc2ncnc(Nc3cccc(C(C)(C)CCNC4CC4)c3)c2cc1OC,0.9343349867611382,7.732392054307566,73.47500752474392,1.0383423149810402,0.6271186440677966,top50,-7.233,0.0,-7.514,0.0,-8.462,0.0,-7.489,0.0,-6.104,0.0,-7.055,0.0,-8.21,0.0,-6.5794999999999995,-7.6745,-1.0950000000000006,0.9509999999999996,0.2810000000000006,-8.21
35,COc1cc2ncnc(Nc3cccc(C(C)(F)Cc4c(F)cccc4OC)c3)c2cc1OC,0.9330758854129096,7.828117648802674,69.62281046249711,1.1233575632189423,0.6964285714285714,top50,-8.257,0.0,-8.779,0.0,-9.481,0.0,-8.811,0.0,-5.955,0.0,-8.193,0.0,-9.189,0.0,-7.074,-8.832,-1.758000000000001,2.2379999999999995,0.5220000000000002,-9.189
36,COc1cc2ncnc(Nc3cccc(C(C)(C)CCC(C)(F)F)c3)c2cc1OC,0.9330637432972512,7.71075452258864,74.75335627821761,1.178149819462455,0.75,top50,-7.46,0.0,-7.84,0.0,-9.51,0.0,-8.256,0.0,-6.79,0.0,-7.278,0.0,-8.857,0.0,-7.034,-8.2665,-1.2325000000000008,0.48799999999999955,0.3799999999999999,-8.857
37,COc1cc2ncnc(Nc3cccc(C(C)(C)CCNC4CCCC4)c3)c2cc1OC,0.9320646806238084,7.71624921236592,73.8822756456589,0.916387137093684,0.6065573770491803,top50,-6.905,0.0,-7.66,0.0,-9.683,0.0,-8.43,0.0,-6.064,0.0,-7.591,0.0,-8.639,0.0,-6.827500000000001,-8.1695,-1.3419999999999987,1.5270000000000001,0.7549999999999999,-8.639
38,COc1cc2ncnc(Nc3cccc(C(CO)(CO)CCN4CCC(O)CC4)c3)c2cc1OC,0.9319877634948626,7.714127445916545,75.95131100565129,0.9038412471779876,0.5606060606060606,top50,-7.684,0.0,-7.808,0.0,-8.116,0.0,-7.153,0.0,-5.795,0.0,-7.458,0.0,-7.62,0.0,-6.6265,-7.69025,-1.0637499999999998,1.6630000000000003,0.12399999999999967,-7.62
39,COc1cc2ncnc(Nc3cccc(C(C)(C)CCC(F)(F)F)c3)c2cc1OC,0.9315331849940146,7.695335137368291,74.96430949940267,1.1561648376155371,0.75,top50,-7.755,0.0,-8.385,0.0,-9.534,0.0,-7.969,0.0,-6.982,0.0,-7.356,0.0,-9.063,0.0,-7.1690000000000005,-8.41075,-1.2417499999999997,0.37399999999999967,0.6299999999999999,-9.063
40,COc1cc2ncnc(Nc3cccc(C(C)(F)c4cccc(F)c4)c3)c2cc1C(C)(C)C,0.9314022414986054,7.72786992011137,72.04666181843007,1.3411119176481718,0.6545454545454545,top50,-9.362,0.0,-8.191,0.0,-10.27,0.0,-9.646,0.0,-7.393,0.0,-8.29,0.0,-10.2,0.0,-7.8415,-9.36725,-1.5257500000000004,0.8969999999999994,1.1709999999999994,-10.2
41,COc1cc2ncnc(Nc3cccc(C(C)(C)CCC4COC4)c3)c2cc1OC,0.9311840721640396,7.828179789061906,69.18625115692907,1.0088570689103211,0.6166666666666667,top50,-7.363,0.0,-7.933,0.0,-8.793,0.0,-8.02,0.0,-5.885,0.0,-7.315,0.0,-8.469,0.0,-6.6,-8.027249999999999,-1.427249999999999,1.4300000000000006,0.5699999999999994,-8.469
42,COc1cc2ncnc(Nc3cccc(C(C)(F)Cc4cnn(C5CC5)c4N)c3)c2cc1OC,0.9306584602506938,7.8438224878301455,70.22472039447074,0.8000433013247097,0.5909090909090909,top50,-7.887,0.0,-8.081,0.0,-9.289,0.0,-8.278,0.0,-6.113,0.0,-7.457,0.0,-8.922,0.0,-6.785,-8.38375,-1.598749999999999,1.3439999999999994,0.19399999999999995,-8.922
43,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC,0.9301483188712596,7.875679305197531,68.11688787913005,1.3399251894035145,0.7368421052631579,top50,-7.575,0.0,-8.105,0.0,-8.563,0.0,-7.818,0.0,-6.041,0.0,-7.393,0.0,-7.905,0.0,-6.7170000000000005,-8.01525,-1.2982499999999995,1.3519999999999994,0.5300000000000002,-7.905
44,COc1cc2ncnc(Nc3cccc(C(C)(C)CCCOC(F)(F)F)c3)c2cc1OC,0.9295477314146048,7.676082282655826,75.06801060544467,0.9876226820727912,0.6842105263157895,top50,-6.86,0.0,-7.859,0.0,-9.069,0.0,-8.021,0.0,-6.512,0.0,-7.342,0.0,-8.721,0.0,-6.927,-7.952250000000001,-1.0252500000000015,0.8300000000000001,0.9989999999999997,-8.721
45,COc1cc2ncnc(Nc3cccc(C(C)(F)c4ccn(C(C)C)c4)c3)c2cc1OC,0.9280881485419544,7.863147222150342,67.93847555557761,1.139389021452382,0.6724137931034483,top50,-8.083,0.0,-8.287,0.0,-8.926,0.0,-8.439,0.0,-6.095,0.0,-7.636,0.0,-8.952,0.0,-6.8655,-8.43375,-1.56825,1.5410000000000004,0.20400000000000063,-8.952
46,COc1cc2ncnc(Nc3cccc(C(C)(F)CCOC(F)(F)F)c3)c2cc1OC,0.9280222889614612,7.6950662458359025,72.00105728281429,1.0972332360213184,0.7090909090909091,top50,-7.535,0.0,-7.904,0.0,-9.443,0.0,-7.682,0.0,-6.855,0.0,-7.012,0.0,-9.408,0.0,-6.9335,-8.141,-1.2074999999999996,0.15699999999999914,0.3689999999999998,-9.408
47,COc1cc2ncnc(Nc3cccc(C(C)(F)c4ccncc4)c3)c2cc1OC,0.9278433311478632,7.868038791089641,67.81612184860303,1.257413921120388,0.75,top50,-8.068,0.0,-8.203,0.0,-9.373,0.0,-8.58,0.0,-6.224,0.0,-8.018,0.0,-9.391,0.0,-7.121,-8.556,-1.4349999999999987,1.7940000000000005,0.1349999999999998,-9.391
48,COc1cc2ncnc(Nc3cccc(C(C)(C)CC(C)(F)c4cccc(C(F)(F)F)c4)c3)c2cc1OC,0.9276414520844076,7.863974895758895,67.84397698462755,1.119754074868635,0.7924528301886793,top50,-8.685,0.0,-8.687,0.0,-9.49,0.0,-8.589,0.0,-7.398,0.0,-8.221,0.0,-10.47,0.0,-7.8095,-8.86275,-1.0532500000000002,0.8230000000000004,0.0019999999999988916,-10.47
